MANDATARIO,PAIS,APROBACION
G. Lasso,Ecuador,74% +2
Draghi,Italia,68% +5
Abinader,R. Dominicana,68%
Merkel,Alemania,66% -3
Putin,Rusia,61% -8
López Obrador,México,58% -3
A. Fernández,Argentina,56% +15
Bolsonaro,Brasil,51% +6
Morrison,Australia,50% -7
Biden,EE. UU.,49% -7
Martin,Irlanda,49% 
Lacalle,Uruguay,47% -13
Sánchez,España,47% +2
Costa,Portugal,41% -20
Castillo,Perú,38% 
Trudeau,Canadá,38% -7
Macron,Francia,38% -2
Carrie Lam,Hong Kong,34% +4
Jhonson,Reino Unido,33% -7
Piñera,Chile,26% +4
Duque,Colombia,23% +5
Luis Arce,Bolivia,–
 , , 
